episode,super_big_cpu_freq,big_cpu_freq,little_cpu_freq,gpu_freq,cpu_temp,fps
2,1920000,1612800,844800,345000000,48.4,30
3,2227200,1612800,1632000,427000000,51.9,12
4,1920000,2227200,576000,427000000,53.9,27
5,1171200,710400,844800,345000000,51.9,30
6,1920000,940800,1036800,427000000,52.7,30
7,1920000,2227200,576000,257000000,56.6,27
8,1497600,1612800,844800,345000000,55.4,30
9,1920000,710400,576000,345000000,53.9,27
10,1497600,1286400,1632000,257000000,55.0,29
11,1171200,1286400,844800,257000000,52.3,30
12,1171200,710400,300000,257000000,51.9,21
13,1171200,2227200,1632000,257000000,58.1,30
14,2419200,1286400,1632000,257000000,57.7,30
15,825600,1920000,1632000,257000000,54.6,30
16,1920000,710400,1113600,257000000,54.6,30
17,1171200,2016000,576000,345000000,56.6,25
18,1171200,1286400,576000,345000000,53.5,7
19,1920000,1920000,1632000,257000000,58.5,30
20,2016000,1612800,300000,345000000,55.8,21
21,1920000,2016000,844800,257000000,57.4,12
22,1920000,1612800,300000,585000000,53.9,19
23,1171200,1612800,1632000,345000000,51.2,30
24,2016000,710400,576000,345000000,53.5,28
25,1920000,1920000,844800,345000000,57.0,28
26,825600,1920000,1382400,427000000,55.4,29
27,1171200,1286400,1632000,345000000,52.7,30
28,2016000,1286400,844800,257000000,56.2,30
29,1171200,710400,1632000,345000000,52.7,30
30,2016000,940800,576000,345000000,55.8,28
31,2016000,940800,1632000,257000000,57.0,30
32,2016000,2016000,576000,427000000,57.0,28
33,1171200,1920000,576000,257000000,56.2,29
34,2016000,940800,300000,257000000,54.3,18
35,1497600,1920000,1632000,257000000,55.4,30
36,2016000,1497600,844800,257000000,59.3,29
37,1497600,2016000,1632000,345000000,58.9,30
38,1171200,710400,576000,345000000,54.6,26
39,825600,710400,1382400,257000000,53.5,29
40,2016000,1286400,1632000,257000000,56.6,30
41,2016000,1286400,844800,345000000,55.8,30
42,1920000,1286400,844800,427000000,55.0,27
43,2016000,1920000,844800,257000000,58.9,28
44,825600,940800,1382400,257000000,54.3,29
45,825600,1920000,576000,345000000,55.4,26
46,1171200,710400,1382400,257000000,54.6,30
47,1920000,710400,576000,257000000,55.4,26
48,1920000,1612800,1632000,257000000,60.1,29
49,825600,710400,1632000,257000000,54.6,30
50,1171200,710400,1632000,257000000,54.6,30
51,2016000,1612800,576000,427000000,55.4,22
52,2016000,710400,576000,257000000,55.4,30
53,1497600,2016000,1382400,257000000,60.1,30
54,2016000,1920000,300000,427000000,56.2,13
55,2016000,710400,300000,257000000,54.3,19
56,1171200,1920000,576000,427000000,55.0,23
57,825600,710400,300000,257000000,51.9,21
58,825600,1612800,576000,257000000,53.9,24
59,1171200,1612800,1632000,257000000,55.4,19
60,1171200,710400,576000,257000000,53.1,27
61,1171200,1286400,576000,345000000,53.9,30
62,1497600,1612800,300000,345000000,52.7,9
63,1171200,940800,1382400,345000000,56.6,30
64,825600,1920000,576000,345000000,55.4,25
65,825600,1612800,1113600,257000000,55.4,30
66,1920000,710400,300000,427000000,54.6,18
67,2016000,1286400,576000,427000000,55.4,28
68,2016000,1920000,576000,257000000,56.2,26
69,1920000,710400,844800,257000000,56.6,27
70,1171200,940800,1382400,257000000,55.0,30
71,1497600,710400,576000,345000000,53.9,27
72,2016000,1920000,1036800,345000000,58.5,14
73,1171200,1612800,576000,427000000,56.2,24
74,1171200,1920000,576000,427000000,57.0,25
75,1171200,1286400,576000,257000000,54.3,30
76,1497600,710400,844800,257000000,54.6,8
77,1171200,2016000,1632000,345000000,57.7,30
78,1920000,1920000,1382400,345000000,60.5,30
79,1612800,1286400,1382400,345000000,57.7,30
80,2016000,710400,844800,257000000,56.6,30
81,1171200,940800,1382400,427000000,54.6,30
82,2016000,940800,1382400,257000000,58.5,30
83,1920000,1286400,1113600,427000000,57.0,28
84,1171200,940800,1382400,257000000,56.2,30
85,1171200,1920000,576000,345000000,57.4,18
86,1920000,1612800,844800,257000000,58.1,30
87,2016000,710400,576000,345000000,57.0,27
88,1171200,1286400,576000,257000000,53.9,25
